gene1,gene2,GI_scores,gene1_primekgindex,gene2_primekgindex,label,cell_id
AARS2,SDHC,2.88219688449,1675,8167,0.0,2
AARS2,SEH1L,0.0320886011145,1675,9660,0.0,2
AARS2,SF3B1,0.380772466589,1675,3326,0.0,2
AARS2,SFXN1,1.04663654055,1675,2222,0.0,2
AARS2,SKA3,1.01264344009,1675,2901,0.0,2
AARS2,SKIV2L,0.496971566828,1675,4844,0.0,2
AARS2,SLC7A1,0.603869196182,1675,2058,0.0,2
AARS2,SLC7A6OS,-0.15294057417,1675,60253,0.0,2
AARS2,SMC5,-1.08465379388,1675,117,0.0,2
AARS2,SMNDC1,0.389651288807,1675,10444,0.0,2
AARS2,SNAPC1,0.147372181042,1675,4030,0.0,2
AARS2,SNIP1,0.101866079465,1675,6949,0.0,2
AARS2,SNRNP200,-0.603698970744,1675,1224,0.0,2
AARS2,SNRNP70,0.544076442476,1675,1605,0.0,2
AARS2,SNRPB,-0.583943121516,1675,256,0.0,2
AARS2,SNRPC,-1.01228201101,1675,2738,0.0,2
AARS2,SNRPD3,0.110146226406,1675,1361,0.0,2
AARS2,SPAG7,-0.620908407753,1675,8089,0.0,2
AARS2,SPDL1,-0.640116534801,1675,8680,0.0,2
AARS2,SRFBP1,0.499097323337,1675,10855,0.0,2
AARS2,SSB,-0.105812845339,1675,3805,0.0,2
AARS2,SSBP1,0.394356683063,1675,7132,0.0,2
AARS2,STXBP4,-0.466495349497,1675,34185,0.0,2
AARS2,SYVN1,-0.106762016194,1675,11603,0.0,2
AARS2,TAF1,-0.249738508945,1675,18,0.0,2
AARS2,TAF1A,-0.768323474411,1675,6451,0.0,2
AARS2,TBCB,0.82576818139,1675,6241,0.0,2
AARS2,TCF25,-1.01252664084,1675,4806,0.0,2
AARS2,TCOF1,0.37658950833,1675,2411,0.0,2
AARS2,TFB1M,0.8001293781309999,1675,13080,0.0,2
AARS2,TGIF2,-0.5077343277049999,1675,58378,0.0,2
