cell_name,protein,protein_name,primekg_index,cell_id,ncbi_id
A375,1141,DNAL4,751,0,10126
A375,1156,APBB1,7296,0,322
A375,1157,CMC2,11988,0,56942
A375,1160,TNFAIP8L1,13539,0,126282
A375,1163,MST1R,5683,0,4486
A375,1165,AP2A2,2456,0,161
A375,1167,TSC2,8372,0,7249
A375,1171,ITIH2,4829,0,3698
A375,1173,DEPDC1,9920,0,55635
A375,1174,SMG5,1602,0,23381
A375,1175,ENO3,894,0,2027
A375,1181,SAR1B,4730,0,51128
A375,1182,FKBP8,3970,0,23770
A375,1183,FBXO6,5576,0,26270
A375,1194,RPL22,2831,0,6146
A375,1200,TXNDC2,56804,0,84203
A375,1205,EIF4E2,4220,0,9470
A375,1209,IL12B,6168,0,3593
A375,1210,TRAPPC2L,5334,0,51693
A375,1211,CYFIP2,6520,0,26999
A375,1212,EMILIN1,1467,0,11117
A375,1213,TNN,57936,0,63923
A375,1217,GNL1,9950,0,2794
A375,1223,KITLG,9410,0,4254
A375,1228,DNAJC1,10433,0,64215
A375,1230,MAP2K7,1747,0,5609
A375,1234,EIF5AL1,59624,0,143244
A375,1238,GLRX2,13721,0,51022
A375,1239,XRCC4,6890,0,7518
A375,1241,DDX17,7892,0,10521
A375,1250,TIMM10B,5539,0,26515
A375,1256,RBM22,9845,0,55696
A375,1257,GUF1,11417,0,60558
A375,1260,COPS6,816,0,10980
A375,1263,FBXL7,13760,0,23194
A375,1264,NOB1,8842,0,28987
A375,1268,MRPL27,10125,0,51264
A375,1270,IL12A,8261,0,3592
A375,1281,SMG1,3167,0,23049
A375,1282,CCKAR,13800,0,886
A375,1284,GART,7090,0,2618
A375,1297,DTX4,10759,0,23220
A375,1298,PHF5A,56833,0,84844
A375,1299,FXN,7445,0,2395
A375,1300,PPIL3,4800,0,53938
A375,1302,STT3A,4727,0,3703
A375,1305,SMPD2,3784,0,6610
A375,1306,TRIP13,1253,0,9319
A375,1307,ERAL1,12322,0,26284
A375,1310,NDUFB4,6893,0,4710
A375,1311,EIF3J,9326,0,8669
A375,1314,STRBP,8201,0,55342
A375,1318,CPEB4,56769,0,80315
A375,1320,HSPA4,2152,0,3308
A375,1323,FFAR1,12156,0,2864
A375,1324,NOP10,3301,0,55505
A375,1326,ASPA,11324,0,443
A375,1327,BMF,11979,0,90427
A375,1339,SRRM1,2047,0,10250
A375,1341,SLC1A4,9686,0,6509
A375,1342,HIVEP3,34425,0,59269
A375,1343,PUF60,5944,0,22827
A375,1350,XRCC6,1496,0,2547
A375,1351,WWTR1,2865,0,25937
A375,1352,RBKS,4541,0,64080
A375,1355,SLC11A2,6829,0,4891
A375,1365,GSTA5,10247,0,221357
A375,1366,TTC3,1121,0,7267
A375,1375,ACACA,8065,0,31
A375,1376,POMP,12706,0,51371
A375,1377,TMOD1,331,0,7111
A375,1379,CCL24,21984,0,6369
A375,1382,HDAC3,851,0,8841
A375,1386,ANAPC5,4516,0,51433
A375,1388,RPSA,2162,0,3921
A375,1389,CCND2,4435,0,894
A375,1391,TK1,1118,0,7083
A375,1392,BBS4,6081,0,585
A375,1393,KPNA1,572,0,3836
A375,1394,PSMB3,1543,0,5691
A375,1395,LSG1,6706,0,55341
A375,1397,YWHAE,1806,0,7531
A375,1402,NONO,2337,0,4841
A375,1405,C18orf32,57548,0,497661
A375,1410,ATG12,7564,0,9140
A375,1412,ANXA6,3990,0,309
A375,1413,HSPA14,6014,0,51182
A375,1415,ANLN,4755,0,54443
A375,1418,CAP1,10206,0,10487
A375,1426,CLPB,7729,0,81570
A375,1431,NDUFA11,6262,0,126328
A375,1436,FXYD3,6951,0,5349
A375,1438,PSME4,6344,0,23198
A375,1440,RPS26,7423,0,6231
A375,1446,WNT11,8546,0,7481
A375,1447,PRDX2,3931,0,7001
A375,1451,SRP72,2189,0,6731
A375,1452,CHD1L,5130,0,9557
A375,1453,FBXO10,11342,0,26267
A375,1455,THEG,56627,0,51298
A375,1456,EEF1B2,5157,0,1933
A375,1457,BAG2,1599,0,9532
A375,1461,POP4,372,0,10775
A375,1462,ACAD9,2767,0,28976
A375,1464,TPM2,2278,0,7169
A375,1469,ODF2,8209,0,4957
A375,1470,UQCR10,13532,0,29796
A375,1472,RGPD5,11183,0,84220
A375,1474,TRIM45,11559,0,80263
A375,1476,FKBP1A,6705,0,2280
A375,1477,RPS23,3467,0,6228
A375,1480,ATAD3B,57815,0,83858
A375,1481,RIMKLB,57867,0,57494
A375,1492,BTK,337,0,695
A375,1493,CYSLTR1,9866,0,10800
A375,1494,YPEL5,9504,0,51646
A375,1507,CPEB2,58306,0,132864
A375,1508,DNAJA1,1793,0,3301
A375,1510,CHCHD5,10256,0,84269
A375,1514,PUS7,6401,0,54517
A375,1515,GLI2,5513,0,2736
A375,1516,GRK6,3950,0,2870
A375,1518,G3BP2,6444,0,9908
A375,1519,ZNF557,12293,0,79230
A375,1522,BID,4127,0,637
A375,1524,YBX1,503,0,4904
A375,1528,HLA-DQB2,11656,0,3120
A375,1529,HLA-DOB,9756,0,3112
A375,1538,TOMM40L,34441,0,84134
A375,1543,CNOT1,3353,0,23019
A375,1546,ZNF641,58051,0,121274
A375,1550,PHB2,4564,0,11331
A375,1553,CCT7,2470,0,10574
A375,1554,ISLR,193,0,3671
A375,1555,KCND3,5774,0,3752
A375,1557,ZNF480,33827,0,147657
A375,1562,DNAJC10,8548,0,54431
A375,1564,ZNF112,8893,0,7771
A375,1568,ACAT2,8248,0,39
A375,1571,SPOP,1788,0,8405
A375,1572,PHKG2,6031,0,5261
A375,1576,TMEM30A,5810,0,55754
A375,1578,TBX5,10075,0,6910
A375,1579,KLKB1,9671,0,3818
A375,1581,AURKB,1814,0,9212
A375,1582,HSF1,3120,0,3297
A375,1583,SLC7A6,13048,0,9057
A375,1585,TTC4,7279,0,7268
A375,1587,FER,8711,0,2241
A375,1588,TACC3,556,0,10460
A375,1589,CDK15,5347,0,65061
A375,1591,PITPNA,8054,0,5306
A375,1593,TRIM31,3325,0,11074
A375,1595,DAG1,1807,0,1605
A375,1597,ASMTL,8157,0,8623
A375,1600,CALM2,1968,0,805
A375,1603,FXYD1,6321,0,5348
A375,1604,ME2,12301,0,4200
A375,1608,ELAVL2,1492,0,1993
A375,1610,UTP14A,2723,0,10813
A375,1613,WDR46,915,0,9277
A375,1616,CPB2,3513,0,1361
A375,1617,TMEM126B,11433,0,55863
A375,1619,LAMTOR5,4691,0,10542
A375,1622,TAF1B,3295,0,9014
A375,1623,FFAR3,7017,0,2865
A375,1627,PIK3R6,57057,0,146850
A375,1632,SND1,11404,0,27044
A375,1634,MRPS5,10162,0,64969
A375,1635,GBP5,12369,0,115362
A375,1638,STRN,4777,0,6801
A375,1639,AP2B1,3287,0,163
A375,1640,HMGCS1,6441,0,3157
A375,1642,SYNRG,1979,0,11276
A375,1643,TOX,6704,0,9760
A375,1646,CALM3,941,0,808
A375,1648,ELP3,10636,0,55140
A375,1652,TXN,2090,0,7295
A375,1655,ILF2,1119,0,3608
A375,1659,ENO4,22074,0,387712
A375,1661,U2AF1L4,58103,0,199746
A375,1668,ZFHX4,10421,0,79776
A375,1670,CCL17,1521,0,6361
A375,1671,DECR2,1092,0,26063
A375,1673,CREG1,12802,0,8804
A375,1676,PTPN6,2486,0,5777
A375,1678,PACSIN1,3153,0,29993
A375,1682,CCNA1,3524,0,8900
A375,1683,MRPS35,7502,0,60488
A375,1684,PRDX3,1869,0,10935
A375,1688,PSMC5,529,0,5705
A375,1691,RBX1,782,0,9978
A375,1696,AUP1,1392,0,550
A375,1697,TCOF1,2411,0,6949
A375,1698,POLR2J,1169,0,5439
A375,1700,SENP5,57191,0,205564
A375,1703,CYBB,5597,0,1536
A375,1712,TACR3,12937,0,6870
A375,1714,EIF3I,6,0,8668
A375,1718,USP30,9112,0,84749
A375,1726,TUBB,12607,0,203068
A375,1731,SYNJ2,7552,0,8871
A375,1734,TRIM26,2200,0,7726
A375,1738,PSMA2,5226,0,5683
A375,1739,ZBTB24,3132,0,9841
A375,1742,HMGCS2,8644,0,3158
A375,1745,DNAJC5B,56847,0,85479
A375,1751,SLC2A4,5508,0,6517
A375,1755,CEP192,7250,0,55125
A375,1760,HSPA13,10170,0,6782
A375,1768,PIF1,57759,0,80119
A375,1770,GPNMB,10221,0,10457
A375,1774,COG7,35361,0,91949
A375,1776,GSTM4,10287,0,2948
A375,1777,LILRB5,33975,0,10990
A375,1778,SUDS3,9086,0,64426
A375,1779,SNRPD3,1361,0,6634
A375,1783,RBM41,4638,0,55285
A375,1784,IGFBP4,10666,0,3487
A375,1786,MIS18BP1,11069,0,55320
A375,1788,LIN54,7734,0,132660
A375,1794,TLR8,3686,0,51311
A375,1795,TNNI2,3073,0,7136
A375,1799,WDR77,5512,0,79084
A375,1804,FSTL3,56582,0,10272
A375,1805,BCHE,341,0,590
A375,1806,PSME1,1284,0,5720
A375,1810,PRMT8,7838,0,56341
A375,1813,SRSF8,384,0,10929
A375,1815,HK2,8798,0,3099
A375,1816,PSMF1,8716,0,9491
A375,1817,FH,504,0,2271
A375,1819,TRIM17,8773,0,51127
A375,1822,AMOTL1,57103,0,154810
A375,1825,TMEM220,57436,0,388335
A375,1826,SCN5A,10417,0,6331
A375,1829,DNAJB11,2869,0,51726
A375,1831,MAPKAPK5,2167,0,8550
A375,1835,OAT,5557,0,4942
A375,1836,YWHAH,1136,0,7533
A375,1837,LTA,5078,0,4049
A375,1838,ARHGEF26,13159,0,26084
A375,1839,FKBPL,8673,0,63943
A375,1847,IKBKB,973,0,3551
A375,1848,IL33,6414,0,90865
A375,1849,EIF3D,7224,0,8664
A375,1850,WASF3,1570,0,10810
A375,1852,ERLEC1,1699,0,27248
A375,1853,ITGA6,5437,0,3655
A375,1870,TBXA2R,2531,0,6915
A375,1871,TGFBR3,1285,0,7049
A375,1874,AGK,7356,0,55750
A375,1876,TNFAIP3,3647,0,7128
A375,1878,RIPK2,4731,0,8767
A375,1881,TRIM8,10902,0,81603
A375,1884,SNX18,8328,0,112574
A375,1885,HNRNPA3,4415,0,220988
A375,1892,CCDC86,10064,0,79080
A375,1896,FBXW10,60188,0,10517
A375,1897,RGPD8,58275,0,727851
A375,1900,GPBP1,8816,0,65056
A375,1902,SEC61B,2191,0,10952
A375,1903,TMED9,9145,0,54732
A375,1905,UBE2V2,3119,0,7336
A375,1906,ORC3,618,0,23595
A375,1911,IMPDH2,222,0,3615
