cell_name,nodea_name,nodeb_name,nodea_primekgid,nodeb_primekgid,label,cell_id
A375,NAE1,RELN,5209,6195,1.0,0
A375,NAE1,NECAP1,5209,8938,1.0,0
A375,NAE1,PARP4,5209,5511,1.0,0
A375,NAE1,STK11,5209,5998,1.0,0
A375,NAE1,UBE2W,5209,1323,1.0,0
A375,NAE1,UBE2E3,5209,2578,1.0,0
A375,NAE1,SNAPC4,5209,8600,1.0,0
A375,NAE1,TNF,5209,2329,1.0,0
A375,NAE1,NOB1,5209,8842,1.0,0
A375,NAE1,PELI1,5209,11359,1.0,0
A375,NAE1,P2RX1,5209,7956,1.0,0
A375,NAE1,SOX21,5209,57709,1.0,0
A375,NAE1,PSMC2,5209,1720,1.0,0
A375,NAE1,TIAL1,5209,166,1.0,0
A375,NAE1,TMCC3,5209,56691,1.0,0
A375,NAE1,NLRP3,5209,12305,1.0,0
A375,NAE1,TP53RK,5209,9286,1.0,0
A375,NAE1,OR4S1,5209,59021,1.0,0
A375,NAE1,SESN2,5209,6609,1.0,0
A375,NAE1,XBP1,5209,8381,1.0,0
A375,NAE1,RASSF7,5209,3332,1.0,0
A375,NAE1,PCNA,5209,139,1.0,0
A375,NAE1,ZNF154,5209,57970,1.0,0
A375,NAE1,PRKN,5209,1340,1.0,0
A375,NAE1,NUP58,5209,1865,1.0,0
A375,NAE1,RAD9A,5209,1032,1.0,0
A375,NAE1,RS1,5209,12575,1.0,0
A375,NAE1,SUPT4H1,5209,5346,1.0,0
A375,NAE1,OGFR,5209,6850,1.0,0
A375,NAE1,XRCC2,5209,7534,1.0,0
A375,NAE1,NOL3,5209,6987,1.0,0
A375,NAE1,TESK1,5209,8552,1.0,0
A375,NAE1,RPS9,5209,1187,1.0,0
A375,NAE1,SETX,5209,5813,1.0,0
A375,NAE1,PPP3CC,5209,1538,1.0,0
A375,NAE1,UBE2Q2,5209,56887,1.0,0
A375,NAE1,YY1,5209,531,1.0,0
A375,NAE1,TOPBP1,5209,2989,1.0,0
