gene_1,gene_2,cell_line_origin,horlbeck_score_SL_score,gene1_primekg_index,gene2_primekg_index,label,cell_id
ADAMTS14,ADAMTS2,A549,0.003203225,58065,4018,0,1
ADAMTS14,ADAMTS3,A549,0.003195481,58065,13264,0,1
ADAMTS2,ADAMTS3,A549,-0.00133571,4018,13264,0,1
ERN1,ERN2,A549,-3.8e-07,1516,57857,0,1
F7,F9,A549,0.001050848,4640,1013,0,1
FAHD2A,FAHD2B,A549,0.004051123,12006,57769,0,1
FBP1,FBP2,A549,-4.55e-05,6933,10383,0,1
FBXO17,FBXO6,A549,0.002586526,7913,5576,0,1
FBXO44,FBXO6,A549,0.004017473,8146,5576,0,1
FGFR2,FGFR3,A549,-0.000184084,1298,150,0,1
FGFR2,FGFR4,A549,0.00034703,1298,441,0,1
FGFR3,FGFR4,A549,0.002753086,150,441,0,1
FKBP1A,FKBP3,A549,0.000859382,6705,5983,0,1
FKBP1A,FKBP4,A549,0.003526933,6705,4599,0,1
FKBP1A,FKBP5,A549,-0.002914143,6705,1836,0,1
GANAB,GANC,A549,8.4e-05,10280,10522,0,1
GGT1,GGT5,A549,-0.001002708,10154,10735,0,1
GGT1,GGT7,A549,0.003308177,10154,9317,0,1
GK,GK2,A549,-0.004816267,7073,13306,0,1
GLS,GLS2,A549,-4.19e-05,6638,13982,0,1
GNL3,GNL3L,A549,2.24e-05,7576,4538,0,1
GPT,GPT2,A549,-0.00021326,5766,9829,0,1
GRK5,GRK6,A549,-0.003963427,4059,3950,0,1
GSPT1,GSPT2,A549,-0.007170967,2774,7143,0,1
GSPT1,HBS1L,A549,-0.003811921,2774,5051,0,1
GSPT2,HBS1L,A549,0.010849255,7143,5051,0,1
HDAC1,HDAC2,A549,-0.011979791,1097,587,0,1
HDAC1,HDAC3,A549,0.004346121,1097,851,0,1
HDAC2,HDAC3,A549,0.008565311,587,851,0,1
HDAC4,HDAC5,A549,-0.005319206,2248,5454,0,1
HDAC4,HDAC9,A549,0.002280164,2248,9570,0,1
HDAC5,HDAC9,A549,-0.00166888,5454,9570,0,1
HDAC10,HDAC6,A549,3.01e-06,13459,4769,0,1
HK1,HK2,A549,-0.00719766,2843,8798,0,1
HK1,HK3,A549,0.011255245,2843,9983,0,1
HK1,HKDC1,A549,-0.018247961,2843,57873,0,1
HK2,HK3,A549,-0.000522657,8798,9983,0,1
HK2,HKDC1,A549,-0.002450046,8798,57873,0,1
HK3,HKDC1,A549,-0.001640812,9983,57873,0,1
HMGCS1,HMGCS2,A549,-4.42e-06,6441,8644,0,1
HNRNPAB,HNRNPDL,A549,8.1e-05,4240,4183,0,1
HNRNPC,RALY,A549,-0.00017891,520,4891,0,1
HNRNPC,RALYL,A549,-0.001978326,520,5758,0,1
HSPA12A,HSPA12B,A549,3.89e-05,13987,10378,0,1
ITGA3,ITGA5,A549,2.89e-05,7328,1556,0,1
AICDA,APOBEC3B,A549,-0.000138699,12245,6630,0,1
AICDA,APOBEC3D,A549,0.003752587,12245,11377,0,1
AICDA,APOBEC3F,A549,0.00500749,12245,57175,0,1
APOBEC3B,APOBEC3D,A549,0.006756936,6630,11377,0,1
APOBEC3B,APOBEC3F,A549,-0.000175213,6630,57175,0,1
APOBEC3D,APOBEC3F,A549,0.005505684,11377,57175,0,1
KCNA1,KCNA3,A549,-0.003810115,874,5867,0,1
KCNA1,KCNA7,A549,0.000873161,874,59452,0,1
KCNA1,KCNC1,A549,-0.000670212,874,11096,0,1
KCNA1,KCNC2,A549,-0.000996751,874,13377,0,1
KCNA1,KCNC3,A549,0.001023931,874,10167,0,1
KCNA1,KCNC4,A549,-0.00947708,874,1613,0,1
KCNA1,KCND1,A549,-0.003995337,874,57962,0,1
KCNA1,KCND2,A549,0.003782408,874,4364,0,1
KCNA1,KCND3,A549,-0.00103669,874,5774,0,1
KCNA3,KCNA7,A549,-0.000502166,5867,59452,0,1
KCNA3,KCNC2,A549,-0.002880945,5867,13377,0,1
KCNA3,KCNC3,A549,-0.000237428,5867,10167,0,1
KCNA3,KCNC4,A549,0.012324454,5867,1613,0,1
KCNA3,KCND1,A549,0.011184877,5867,57962,0,1
KCNA7,KCNC1,A549,-0.004094994,59452,11096,0,1
KCNA7,KCNC2,A549,-0.010473091,59452,13377,0,1
KCNA7,KCNC3,A549,-0.008568569,59452,10167,0,1
KCNA7,KCNC4,A549,-0.003227745,59452,1613,0,1
KCNA7,KCND1,A549,-0.006282312,59452,57962,0,1
KCNA7,KCND2,A549,-0.002303896,59452,4364,0,1
KCNA7,KCND3,A549,-0.006941946,59452,5774,0,1
KCNC1,KCNC2,A549,0.007265479,11096,13377,0,1
KCNC1,KCNC3,A549,0.004673986,11096,10167,0,1
KCNC1,KCNC4,A549,0.00895083,11096,1613,0,1
KCNC2,KCNC3,A549,0.001927832,13377,10167,0,1
KCNC2,KCNC4,A549,0.007451749,13377,1613,0,1
KCNC3,KCNC4,A549,0.008368624,10167,1613,0,1
KCND1,KCND2,A549,0.003084189,57962,4364,0,1
KCND1,KCND3,A549,0.00317674,57962,5774,0,1
KCND2,KCND3,A549,0.006346831,4364,5774,0,1
KCNB1,KCNB2,A549,-0.007037231,6348,7705,0,1
KCNB1,KCNF1,A549,-0.000789284,6348,2695,0,1
KCNB1,KCNG1,A549,0.001360419,6348,6581,0,1
KCNB1,KCNG3,A549,-0.002196944,6348,57157,0,1
KCNB1,KCNG4,A549,-0.00535991,6348,58673,0,1
KCNB1,KCNS1,A549,0.001383748,6348,56562,0,1
KCNB1,KCNS3,A549,-0.000356054,6348,1672,0,1
KCNB1,KCNV1,A549,0.002344589,6348,59212,0,1
KCNB1,KCNV2,A549,0.006179765,6348,35219,0,1
KCNB2,KCNF1,A549,0.000175264,7705,2695,0,1
KCNB2,KCNG1,A549,-0.008952198,7705,6581,0,1
KCNB2,KCNG3,A549,-0.003880848,7705,57157,0,1
KCNB2,KCNG4,A549,-0.000574419,7705,58673,0,1
KCNB2,KCNS1,A549,-0.004908537,7705,56562,0,1
KCNB2,KCNS3,A549,0.002551833,7705,1672,0,1
KCNB2,KCNV1,A549,-0.000701102,7705,59212,0,1
KCNB2,KCNV2,A549,0.00582238,7705,35219,0,1
KCNF1,KCNG1,A549,-8.73e-05,2695,6581,0,1
KCNF1,KCNG3,A549,-0.002879868,2695,57157,0,1
KCNF1,KCNS1,A549,-0.002730314,2695,56562,0,1
KCNF1,KCNS3,A549,0.011142981,2695,1672,0,1
KCNF1,KCNV1,A549,0.003880824,2695,59212,0,1
KCNG1,KCNG3,A549,0.007906281,6581,57157,0,1
KCNG1,KCNG4,A549,-0.000559497,6581,58673,0,1
KCNG1,KCNS1,A549,-0.004054742,6581,56562,0,1
KCNG1,KCNS3,A549,-0.008350592,6581,1672,0,1
KCNG1,KCNV1,A549,-0.004943567,6581,59212,0,1
KCNG1,KCNV2,A549,-0.000473429,6581,35219,0,1
KCNG3,KCNG4,A549,-0.004042056,57157,58673,0,1
KCNG3,KCNS1,A549,0.003138627,57157,56562,0,1
KCNG3,KCNS3,A549,0.001296375,57157,1672,0,1
KCNG3,KCNV1,A549,0.002005244,57157,59212,0,1
KCNG3,KCNV2,A549,0.007156272,57157,35219,0,1
KCNG4,KCNS1,A549,0.003291764,58673,56562,0,1
KCNG4,KCNS3,A549,0.002053304,58673,1672,0,1
KCNG4,KCNV1,A549,0.002989288,58673,59212,0,1
KCNS1,KCNS3,A549,-0.003070969,56562,1672,0,1
KCNS1,KCNV1,A549,0.000196874,56562,59212,0,1
KCNS1,KCNV2,A549,0.000446878,56562,35219,0,1
KCNS3,KCNV1,A549,-0.000727099,1672,59212,0,1
KCNS3,KCNV2,A549,0.002082069,1672,35219,0,1
KCNV1,KCNV2,A549,0.000690919,59212,35219,0,1
KCNH1,KCNH2,A549,0.003979137,6193,4447,0,1
KCNH1,KCNH5,A549,0.000296593,6193,34679,0,1
KCNH2,KCNH5,A549,0.006119097,4447,34679,0,1
KCNN1,KCNN3,A549,0.000289408,10110,6889,0,1
KCNN2,KCNN3,A549,-0.000262292,7470,6889,0,1
KCNN3,KCNN4,A549,4.64e-05,6889,1192,0,1
AK1,AK5,A549,0.005429961,4346,10761,0,1
AK1,CMPK1,A549,-0.00487723,4346,9838,0,1
